,Country,Value
0,NER,1.0
1,ERI,1.0
2,PRK,1.0
3,TCD,1.0
4,LBR,1.0
5,BFA,1.0
6,PLW,1.0
7,UGA,1.0
8,COM,1.0
9,AGO,1.0
10,CAF,1.0
11,SOM,1.0
